Document Number,Invoice Value,Department,Authorization,Conflicting Rules
1819100458,18849,Support,No,"CRID001,CRID002,CRID003"
1819100563,92040,Support,No,"CRID001,CRID002,CRID003"
1819100589,187640,Support,No,"CRID001,CRID002,CRID003"
1819100681,623,Support,No,"CRID001,CRID002,CRID003"
1819100733,2818,Support,No,"CRID001,CRID002,CRID003"
1819100825,83589,Support,No,"CRID001,CRID002,CRID003"
1819100862,6064,Support,No,"CRID001,CRID002,CRID003"
1819100881,142175,Support,No,"CRID001,CRID002,CRID003"
1819200040,1000,Support,No,"CRID001,CRID002,CRID003"
1819200085,194937,Support,No,"CRID001,CRID002,CRID003"
1819200128,4140,Support,No,"CRID001,CRID002,CRID003"
1905000309,19752,Support,No,"CRID001,CRID002,CRID003"
1905000330,1071,Support,No,"CRID001,CRID002,CRID003"
1907000526,1285515,Support,No,"CRID001,CRID002,CRID003"
1907000552,408,Support,No,"CRID001,CRID002,CRID003"
1924000094,140,Support,No,"CRID001,CRID002,CRID003"
1927000316,638495,Support,No,"CRID001,CRID002,CRID003"
1819100459,18849,Support,No,"CRID002,CRID003"
1819100526,4140,Support,No,"CRID002,CRID003"
1819100566,113292,Support,No,"CRID002,CRID003"
1819100569,148838,Support,No,"CRID002,CRID003"
1819100607,148838,Support,No,"CRID002,CRID003"
1819100610,127575,Support,No,"CRID002,CRID003"
1819100613,8614,Support,No,"CRID002,CRID003"
1819100615,234530,Support,No,"CRID002,CRID003"
1819100624,103923,Support,No,"CRID002,CRID003"
1819100629,4200,Support,No,"CRID002,CRID003"
1819100646,28615,Support,No,"CRID002,CRID003"
1819100708,16460,Support,No,"CRID002,CRID003"
1819100760,88146,Support,No,"CRID002,CRID003"
1819100837,23336,Support,No,"CRID002,CRID003"
1819100877,89127,Support,No,"CRID002,CRID003"
1819100924,127575,Support,No,"CRID002,CRID003"
1819200049,194937,Support,No,"CRID002,CRID003"
1819200103,37800,Support,No,"CRID002,CRID003"
1901000118,14058,Support,No,"CRID002,CRID003"
1904000777,133000,Support,No,"CRID002,CRID003"
1904000808,1804,Support,No,"CRID002,CRID003"
